Key,Timestamp,Action
Key.shift,1727559658.651359,press
T,1727559658.8429482,press
Key.shift,1727559658.865988,release
h,1727559658.882101,press
h,1727559658.969782,release
t,1727559658.993655,release
i,1727559659.0314891,press
i,1727559659.111556,release
s,1727559659.112745,press
Key.space,1727559659.214016,press
s,1727559659.247422,release
Key.space,1727559659.311435,release
i,1727559659.382102,press
i,1727559659.4661682,release
s,1727559659.4700549,press
Key.space,1727559659.549333,press
s,1727559659.589378,release
Key.space,1727559659.6414158,release
a,1727559659.753193,press
a,1727559659.8618932,release
Key.space,1727559659.88846,press
Key.space,1727559659.996907,release
t,1727559660.1373398,press
t,1727559660.181566,release
Key.backspace,1727559660.741281,press
s,1727559660.81718,press
Key.backspace,1727559660.856388,release
e,1727559660.9570901,press
s,1727559661.0097191,release
c,1727559661.125385,press
e,1727559661.132305,release
o,1727559661.229138,press
c,1727559661.3211148,release
n,1727559661.332816,press
o,1727559661.3366668,release
n,1727559661.4416971,release
d,1727559661.467874,press
Key.space,1727559661.568257,press
d,1727559661.5888278,release
Key.space,1727559661.6566038,release
t,1727559661.7752151,press
t,1727559661.919668,release
e,1727559661.9649122,press
s,1727559662.065144,press
e,1727559662.141183,release
t,1727559662.2289438,press
s,1727559662.2605782,release
t,1727559662.385728,release
.,1727559662.635224,press
Key.space,1727559662.755092,press
.,1727559662.772492,release
Key.space,1727559662.879304,release
Key.shift,1727559663.2364569,press
W,1727559663.504319,press
H,1727559663.5882628,press
Key.shift,1727559663.67177,release
w,1727559663.6793458,release
h,1727559663.6954298,release
a,1727559663.816112,press
a,1727559663.9734778,release
t,1727559663.990996,press
t,1727559664.126186,release
Key.space,1727559664.723454,press
Key.space,1727559664.8515022,release
h,1727559664.9273129,press
a,1727559665.016166,press
h,1727559665.035398,release
p,1727559665.107543,press
a,1727559665.15556,release
p,1727559665.187579,release
p,1727559665.433404,press
p,1727559665.513449,release
e,1727559665.63605,press
n,1727559665.743767,press
e,1727559665.775178,release
n,1727559665.815922,release
s,1727559665.880918,press
Key.space,1727559665.94838,press
s,1727559665.996463,release
Key.space,1727559666.012507,release
i,1727559666.117166,press
i,1727559666.185469,release
f,1727559666.213783,press
Key.space,1727559666.28957,press
f,1727559666.333469,release
Key.space,1727559666.377852,release
Key.shift,1727559666.486357,press
I,1727559666.582015,press
I,1727559666.6574762,release
Key.shift,1727559666.67438,release
Key.space,1727559666.76498,press
Key.space,1727559666.8611698,release
b,1727559667.359189,press
a,1727559667.4193332,press
b,1727559667.430054,release
c,1727559667.566978,press
a,1727559667.578201,release
k,1727559667.6032588,press
k,1727559667.6902468,release
c,1727559667.735213,release
Key.space,1727559667.820208,press
Key.space,1727559667.880329,release
Key.backspace,1727559668.371647,press
Key.backspace,1727559668.448468,release
Key.backspace,1727559668.5319512,press
Key.backspace,1727559668.596359,release
k,1727559669.366981,press
k,1727559669.471311,release
s,1727559669.53282,press
s,1727559669.649554,release
p,1727559669.7188349,press
a,1727559669.791029,press
p,1727559669.846285,release
a,1727559669.954905,release
c,1727559669.9628968,press
e,1727559670.098939,press
c,1727559670.150741,release
e,1727559670.2471511,release
Key.shift,1727559670.4565918,press
?,1727559670.812104,press
Key.shift,1727559670.916615,release
/,1727559670.9646301,release
Key.space,1727559671.026919,press
Key.space,1727559671.163357,release
Key.space,1727559671.344921,press
Key.space,1727559671.497758,release
Key.space,1727559671.6469572,press
Key.space,1727559671.7553222,release
Key.space,1727559671.894848,press
Key.space,1727559671.975199,release
Key.space,1727559672.097022,press
Key.space,1727559672.189396,release
Key.space,1727559672.290995,press
Key.space,1727559672.398902,release
Key.backspace,1727559672.771997,press
Key.backspace,1727559672.860214,release
Key.backspace,1727559672.944778,press
Key.backspace,1727559673.0134091,release
Key.backspace,1727559673.0919979,press
Key.backspace,1727559673.168255,release
Key.backspace,1727559673.249695,press
Key.backspace,1727559673.330144,release
Key.backspace,1727559673.414863,press
Key.backspace,1727559673.4710112,release
Key.space,1727559673.511688,press
Key.space,1727559673.620131,release
Key.space,1727559673.738688,press
Key.space,1727559673.827182,release
Key.space,1727559673.956055,press
Key.space,1727559674.07634,release
Key.space,1727559674.180625,press
Key.backspace,1727559674.2562492,press
Key.space,1727559674.2762911,release
Key.backspace,1727559674.340299,release
Key.backspace,1727559674.4269161,press
Key.backspace,1727559674.49918,release
Key.backspace,1727559674.6007118,press
Key.backspace,1727559674.6692832,release
Key.space,1727559674.759638,press
Key.space,1727559674.8644211,release
Key.space,1727559674.973736,press
Key.space,1727559675.054178,release
Key.shift,1727559675.5793102,press
J,1727559676.283118,press
Key.shift,1727559676.358967,release
j,1727559676.3746839,release
u,1727559676.454529,press
u,1727559676.562732,release
s,1727559676.574547,press
t,1727559676.734657,press
s,1727559676.757826,release
Key.space,1727559676.814441,press
t,1727559676.870021,release
Key.space,1727559676.890033,release
g,1727559676.991767,press
o,1727559677.0398898,press
g,1727559677.095077,release
o,1727559677.131092,release
t,1727559677.190561,press
Key.space,1727559677.2153752,press
t,1727559677.293919,release
Key.space,1727559677.302228,release
o,1727559677.411644,press
d,1727559677.434835,press
o,1727559677.493946,release
d,1727559677.5906298,release
n,1727559677.5920472,press
n,1727559677.701867,release
e,1727559677.717973,press
